id,Date,Open,High,Low,Close,Adj Close,Volume
1,21-02-2023,150.2,151.3,148.41,148.48,147.692,58867200
2,22-02-2023,148.87,149.95,147.16,148.91,148.119,51011300
3,23-02-2023,150.09,150.34,147.24,149.4,148.607,48394200
4,24-02-2023,147.11,147.19,145.72,146.71,145.931,55469600
5,27-02-2023,147.71,149.17,147.45,147.92,147.135,44998500
6,28-02-2023,147.05,149.08,146.83,147.41,146.627,50547000
7,01-03-2023,146.83,147.23,145.01,145.31,144.539,55479000
8,02-03-2023,144.38,146.71,143.9,145.91,145.135,52238100
9,03-03-2023,148.04,151.11,147.33,151.03,150.228,70732300
10,06-03-2023,153.79,156.3,153.46,153.83,153.013,87558000
11,07-03-2023,153.7,154.03,151.13,151.6,150.795,56182000
12,08-03-2023,152.81,153.47,151.83,152.87,152.058,47204800
13,09-03-2023,153.56,154.54,150.23,150.59,149.79,53833600
14,10-03-2023,150.21,150.94,147.61,148.5,147.712,68572400
15,13-03-2023,147.81,153.14,147.7,150.47,149.671,84457100
16,14-03-2023,151.28,153.4,150.1,152.59,151.78,73695900
17,15-03-2023,151.19,153.25,149.92,152.99,152.178,77167900
18,16-03-2023,152.16,156.46,151.64,155.85,155.023,76161100
19,17-03-2023,156.08,156.74,154.28,155,154.177,98944600
20,20-03-2023,155.07,157.82,154.15,157.4,156.564,73641400
21,21-03-2023,157.32,159.4,156.54,159.28,158.434,73938300
22,22-03-2023,159.3,162.14,157.81,157.83,156.992,75701800
23,23-03-2023,158.83,161.55,157.68,158.93,158.086,67622100
24,24-03-2023,158.86,160.34,157.85,160.25,159.399,59196500
25,27-03-2023,159.94,160.77,157.87,158.28,157.44,52390300
26,28-03-2023,157.97,158.49,155.98,157.65,156.813,45992200
27,29-03-2023,159.37,161.05,159.35,160.77,159.916,51305700
28,30-03-2023,161.53,162.47,161.27,162.36,161.498,49501700
29,31-03-2023,162.44,165,161.91,164.9,164.024,68749800
30,03-04-2023,164.27,166.29,164.22,166.17,165.288,56976200
31,04-04-2023,166.6,166.84,165.11,165.63,164.751,46278300
32,05-04-2023,164.74,165.05,161.8,163.76,162.891,51511700
33,06-04-2023,162.43,164.96,162,164.66,163.786,45390100
34,10-04-2023,161.42,162.03,160.08,162.03,161.17,47716900
35,11-04-2023,162.35,162.36,160.51,160.8,159.946,47644200
36,12-04-2023,161.22,162.06,159.78,160.1,159.25,50133100
37,13-04-2023,161.63,165.8,161.42,165.56,164.681,68445600
38,14-04-2023,164.59,166.32,163.82,165.21,164.333,49386500
39,17-04-2023,165.09,165.39,164.03,165.23,164.353,41516200
40,18-04-2023,166.1,167.41,165.65,166.47,165.586,49923000
41,19-04-2023,165.8,168.16,165.54,167.63,166.74,47720200
42,20-04-2023,166.09,167.87,165.56,166.65,165.765,52456400
43,21-04-2023,165.05,166.45,164.49,165.02,164.144,58337300
44,24-04-2023,165,165.6,163.89,165.33,164.452,41949600
45,25-04-2023,165.19,166.31,163.73,163.77,162.9,48714100
46,26-04-2023,163.06,165.28,162.8,163.76,162.891,45498800
47,27-04-2023,165.19,168.56,165.19,168.41,167.516,64902300
48,28-04-2023,168.49,169.85,167.88,169.68,168.779,55209200
49,01-05-2023,169.28,170.45,168.64,169.59,168.69,52472900
50,02-05-2023,170.09,170.35,167.54,168.54,167.645,48425700
51,03-05-2023,169.5,170.92,167.16,167.45,166.561,65136000
52,04-05-2023,164.89,167.04,164.31,165.79,164.91,81235400
53,05-05-2023,170.98,174.3,170.76,173.57,172.648,113316400
54,08-05-2023,172.48,173.85,172.11,173.5,172.579,55962800
55,09-05-2023,173.05,173.54,171.6,171.77,170.858,45326900
56,10-05-2023,173.02,174.03,171.9,173.56,172.639,53724500
57,11-05-2023,173.85,174.59,172.17,173.75,172.827,49514700
58,12-05-2023,173.62,174.06,171,172.57,171.891,45497800
59,15-05-2023,173.16,173.21,171.47,172.07,171.393,37266700
60,16-05-2023,171.99,173.14,171.8,172.07,171.393,42110300
61,17-05-2023,171.71,172.93,170.42,172.69,172.011,57951600
62,18-05-2023,173,175.24,172.58,175.05,174.361,65496700
63,19-05-2023,176.39,176.39,174.94,175.16,174.471,55772400
64,22-05-2023,173.98,174.71,173.45,174.2,173.515,43570900
